session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,2020 US presidential election,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status,U.S. Political Affiliation
6054d48272e4685074bf1e78,5d59d9884e2ab80001d1e126,APPROVED,2021-03-19 16:42:44.369000,2021-03-19 16:44:00.947000,76.578,24,475,0,100,2021-03-21 03:41:16.762000,2C804BBF,Joe Biden,United States,United States,Full-Time,English,United States,Male,No,Democrat
6054d4906cc2157ee0814293,55c0ca6cfdf99b2e8efc9f4b,APPROVED,2021-03-19 16:43:00.019000,2021-03-19 16:44:05.197000,65.178,40,1504,7,100,2021-03-21 03:41:19.327000,2C804BBF,Joe Biden,United States,United States,Full-Time,English,United States,Female,No,
6054d491ef5ed471c43a0316,5f4da3e0de27c7a9386fbc40,APPROVED,2021-03-19 16:42:59.884000,2021-03-19 16:43:43.709000,43.825,22,232,2,100,2021-03-21 03:41:24.626000,2C804BBF,Joe Biden,United States,United States,Full-Time,DATA EXPIRED,United States,Male,No,Independent
6054d4b9c9342541ecf94a61,5eca872c8473f05c071aee4d,APPROVED,2021-03-19 16:43:41.088000,2021-03-19 16:45:53.619000,132.531,32,437,2,100,2021-03-21 03:41:26.138000,2C804BBF,Joe Biden,United States,United States,Full-Time,English,United States,Male,No,Democrat
6054d4fa382937df84a848d0,5ed174832955ea0c743fead2,APPROVED,2021-03-19 16:44:45.641000,2021-03-19 16:45:49.928000,64.287,38,520,2,100,2021-03-21 03:41:28.509000,2C804BBF,Joe Biden,United States,United States,Full-Time,English,United States,Male,Yes,Democrat
6054d542c9e2e1fa78fea524,5f4c8469ad5ee688eff8cb4b,APPROVED,2021-03-19 16:45:56.635000,2021-03-19 16:47:13.475000,76.84,18,328,0,100,2021-03-21 03:41:31.215000,2C804BBF,Joe Biden,United States,United States,Part-Time,DATA EXPIRED,United States,Male,Yes,Democrat
6054d564858d175113d7c499,5f8154be0e7254000973ddfa,APPROVED,2021-03-19 16:46:28.953000,2021-03-19 16:48:27.620000,118.667,25,166,1,100,2021-03-21 03:41:33.030000,2C804BBF,Joe Biden,United States,United States,Full-Time,DATA EXPIRED,United States,Male,No,Democrat
6054d57962065cc272f5e6ec,5a89c5100f1bce0001224361,APPROVED,2021-03-19 16:46:53.493000,2021-03-19 16:48:20.851000,87.358,55,816,0,100,2021-03-21 03:41:34.586000,2C804BBF,Joe Biden,United States,United States,Full-Time,English,United States,Female,No,
6054d5c5de9364fe68cf7191,5a9cc3cb1eda4100013675d0,APPROVED,2021-03-19 16:48:12.206000,2021-03-19 16:52:51.712000,279.506,39,296,0,100,2021-03-21 03:41:37.859000,2C804BBF,Joe Biden,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No,Democrat
6054d5e90a84dcdd68af4bdb,5c3d34e0e0ea820001460b7b,APPROVED,2021-03-19 16:48:46.329000,2021-03-19 16:50:53.202000,126.873,38,473,0,100,2021-03-21 03:41:39.546000,2C804BBF,Joe Biden,United States,United States,Full-Time,English,United States,Male,No,Democrat
6054d62ec9e2e1fa78fea52c,5e2b31856d1e38180da77784,APPROVED,2021-03-19 16:49:53.901000,2021-03-19 16:51:58.604000,124.703,30,655,0,100,2021-03-21 03:41:41.959000,2C804BBF,Joe Biden,United States,United States,Unemployed (and job seeking),English,United States,Female,No,Independent
6054d62f92324e2b55e851ef,5d2f3becd8c144000187438c,APPROVED,2021-03-19 16:51:26.133000,2021-03-19 16:52:29.642000,63.509,42,516,0,100,2021-03-21 03:41:44.724000,2C804BBF,Joe Biden,United States,United States,Full-Time,English,United States,Female,No,Democrat
6054d67cf127a383e4932e1c,5ff76d52a4cb3f434e49eabe,APPROVED,2021-03-19 16:51:13.431000,2021-03-19 16:52:43.222000,89.791,24,148,0,100,2021-03-21 03:41:46.945000,2C804BBF,Joe Biden,United States,United States,Part-Time,DATA EXPIRED,United States,Female,No,Independent
6054d6c1372c8341b9839aa7,5e2cc504032d282ef44a2c41,APPROVED,2021-03-19 16:52:25.952000,2021-03-19 16:54:06.463000,100.511,58,461,0,100,2021-03-21 03:41:48.537000,2C804BBF,Joe Biden,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No,Democrat
6054d718b862da3ee0e0dab6,5f6eedb50b7ced449ec0132b,APPROVED,2021-03-19 16:53:47.939000,2021-03-19 16:55:55.037000,127.098,36,141,4,96,2021-03-21 03:41:50.822000,2C804BBF,Joe Biden,Germany,United States,Full-Time,DATA EXPIRED,United States,Male,No,Democrat
6054d7667aa11b3c4eafe5e3,5e5572e0791e24052646b763,APPROVED,2021-03-19 16:55:04.587000,2021-03-19 16:56:07.303000,62.716,19,284,0,100,2021-03-21 03:41:52.125000,2C804BBF,Joe Biden,United States,United States,Other,English,United States,Female,Yes,Democrat
6054d7b953a91ce233bdc647,5efbe4f0c9f37c1a3b70afaf,APPROVED,2021-03-19 16:56:28.222000,2021-03-19 16:57:25.871000,57.649,20,553,0,100,2021-03-21 03:41:54.010000,2C804BBF,Joe Biden,United States,United States,Other,Spanish,United States,Male,Yes,Democrat
6054d80c412299abedbd6690,5a3bf28afbc64300010a2530,APPROVED,2021-03-19 16:57:51.260000,2021-03-19 16:59:23.326000,92.066,32,777,1,100,2021-03-21 03:41:56.330000,2C804BBF,Joe Biden,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No,
6054d81268edc4a870170cce,5e76d38fa5043924633c1fbe,APPROVED,2021-03-19 16:57:58.422000,2021-03-19 17:00:41.227000,162.805,23,128,1,100,2021-03-21 03:41:59.732000,2C804BBF,Joe Biden,United States,United States,Part-Time,English,United States,Female,No,Democrat
6054d892ccefc1d31ed3877b,5c471f433a307700017fc0dd,APPROVED,2021-03-19 17:00:06.854000,2021-03-19 17:02:07.198000,120.344,40,189,0,100,2021-03-21 03:42:01.296000,2C804BBF,Joe Biden,United States,United States,Full-Time,English,United States,Male,No,Independent
6054d90b9c0636394086bdbc,5db7e95a0b850e000f5e0b6f,APPROVED,2021-03-19 17:02:06.308000,2021-03-19 17:02:55.454000,49.146,27,773,5,99,2021-03-21 03:42:02.780000,2C804BBF,Joe Biden,United States,United States,Full-Time,English,United States,Male,Yes,Independent
6054d938e4428a5013a77496,5fb587707056a60c70ccf3ee,APPROVED,2021-03-19 17:02:52.084000,2021-03-19 17:04:01.977000,69.893,35,212,1,100,2021-03-21 03:42:05.961000,2C804BBF,Joe Biden,United States,United States,Full-Time,DATA EXPIRED,United States,Male,No,Democrat
