session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,2020 US presidential election,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status,U.S. Political Affiliation
6054e3dba9d5ea1a31506403,5eaf2b7e05ff7862e21e9d3b,APPROVED,2021-03-19 17:48:16.148000,2021-03-19 17:51:28.421000,192.273,41,620,1,100,2021-03-21 03:35:24.263000,726F3960,Donald Trump,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No,Democrat
6054e3f9d113fe1e12513bd3,602451f15e338c12534710d0,APPROVED,2021-03-19 17:48:58.564000,2021-03-19 17:52:12.094000,193.53,22,109,1,100,2021-03-21 03:35:26.640000,726F3960,Donald Trump,United States,United States,Unemployed (and job seeking),,United States,Female,Yes,Republican
6054e407d369be3e4618e272,5dd40277e08a363e4e006384,APPROVED,2021-03-19 17:48:58.905000,2021-03-19 17:50:29.233000,90.328,40,911,1,100,2021-03-21 03:35:27.922000,726F3960,Donald Trump,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No,Republican
6054e4d60e42328d4490c044,5e842a0eb85d4718ea8a6256,APPROVED,2021-03-19 17:52:24.799000,2021-03-19 17:54:41.955000,137.156,63,799,7,99,2021-03-21 03:35:31.534000,726F3960,Donald Trump,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Male,No,Republican
6054e4e5c70db32378b30d08,5d3268a52b53a200195ebc30,APPROVED,2021-03-19 17:52:42.200000,2021-03-19 17:54:07.075000,84.875,57,534,6,97,2021-03-21 03:35:34.679000,726F3960,Donald Trump,United States,United States,Unemployed (and job seeking),English,United States,Female,No,Republican
6054e4ef427bb0f7c9cfe42d,5c2f7f10e4dd550001e49c10,APPROVED,2021-03-19 17:52:51.115000,2021-03-19 17:55:04.354000,133.239,55,497,2,100,2021-03-21 03:35:37.149000,726F3960,Donald Trump,United States,United States,Full-Time,English,United States,Female,No,Republican
6054e5453e4f4149fe532d29,5ff08b1c8fd71d455c09de46,APPROVED,2021-03-19 17:54:18.721000,2021-03-19 17:55:52.805000,94.084,35,193,1,100,2021-03-21 03:35:39.228000,726F3960,Donald Trump,United States,United States,DATA EXPIRED,DATA EXPIRED,United States,Female,No,Independent
6054e57a1cbf926315bc1cc9,54847013fdf99b0379939c8a,APPROVED,2021-03-19 17:55:10.488000,2021-03-19 17:56:10.293000,59.805,38,1080,2,100,2021-03-21 03:35:40.808000,726F3960,Donald Trump,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No,Republican
6054e58121b0026bf9bd996f,5fd4125ed9973916d62d9958,APPROVED,2021-03-19 17:55:16.394000,2021-03-19 17:57:18.250000,121.856,30,170,2,99,2021-03-21 03:35:44.764000,726F3960,Donald Trump,United States,United States,Part-Time,DATA EXPIRED,United States,Male,No,Republican
6054e5fd7b86e79b9215dede,5e890ab34fc4235a7fbb8258,APPROVED,2021-03-19 17:57:17.351000,2021-03-19 17:58:44.872000,87.521,24,675,1,100,2021-03-21 03:35:46.097000,726F3960,Donald Trump,United States,United States,Full-Time,English,United States,Male,Yes,Republican
6054e64f664007e1d6fd0a91,5f41a03638c7fc364a4e3204,APPROVED,2021-03-19 17:58:45.635000,2021-03-19 18:00:37.750000,112.115,27,160,0,100,2021-03-21 03:35:49.025000,726F3960,Donald Trump,United States,United States,Unemployed (and job seeking),DATA EXPIRED,United States,Male,Yes,Independent
6054e65a2e85f11f7d211794,5ee96cbf2825f91f0f5f49d9,APPROVED,2021-03-19 17:58:54.724000,2021-03-19 18:00:15.866000,81.142,47,347,1,100,2021-03-21 03:35:50.467000,726F3960,Donald Trump,United States,United States,Full-Time,English,United States,Female,No,Independent
6054e678db2d431b986e11de,5f7d0e683200ed1e6e8bd54d,APPROVED,2021-03-19 17:59:26.585000,2021-03-19 18:01:48.616000,142.031,29,399,1,100,2021-03-21 03:35:52.279000,726F3960,Donald Trump,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",DATA EXPIRED,United States,Female,No,Republican
6054e684d34c568a3ea5ec4c,5eb24b26f30ede1a6ae46c14,APPROVED,2021-03-19 17:59:36.225000,2021-03-19 18:02:29.819000,173.594,22,796,1,100,2021-03-21 03:35:54.383000,726F3960,Donald Trump,United States,United States,Full-Time,English,United States,Male,Yes,Republican
